	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4208	9864027A19563	Proyectos	Director/Presidente/CEO	Perú	Sin Version	Online Asincronica
4209	10557149A24317	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4210	10547421A24317	Proyectos	Asistente	Perú	Basica	Online Asincronica
4211	10311324A24317	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4212	10220735A24317	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4213	10562703A24317	Proyectos	Asistente	Perú	Basica	Online Asincronica
4214	10561701A24317	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4215	10305792A24317	Proyectos	Asistente	Perú	Basica	Online Asincronica
4216	9595553A16698	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4217	10098168A18847	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4218	10106059A18847	Proyectos	Analista	Perú	Sin Version	Online Asincronica
4219	10104797A18847	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4220	10112446A18847	Proyectos	Practicante	Perú	Sin Version	Online Asincronica
4221	9628301A18847	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4222	10121841A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4223	9572926A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4224	9688107A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4225	9930614A18847	Proyectos	Encargado	Perú	Sin Version	Online Asincronica
4226	10060640A18847	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4227	15984A18847	Proyectos	Superintendente	Perú	Sin Version	Online Asincronica
4228	9935984A18847	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4229	10111575A18918	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4230	10116518A18847	Proyectos	Operario	Perú	Sin Version	Online Asincronica
4231	10118472A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4232	10125491A18847	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4233	9485956A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4234	10109815A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4235	9716874A18847	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4236	9695314A17595	Proyectos	Estudiante	Perú	Basica	Online Asincronica
4237	10381639A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4238	10392807A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4239	9656637A22826	Proyectos	Director/Presidente/CEO	Perú	Basica	Online Asincronica
4240	9689596A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4241	9980941A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4242	117761A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4243	10379158A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4244	9976231A22826	Proyectos	Auditor	Perú	Basica	Online Asincronica
4245	10393203A22826	Proyectos	Consultor	Perú	Basica	Online Asincronica
4246	10363707A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4247	10374646A22826	Proyectos	Gerente de Área/Unidad	Perú	Basica	Online Asincronica
4248	10375687A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4249	10415270A22826	Proyectos	Analista	Perú	Basica	Online Asincronica
4250	10394879A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4251	114359A22826	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4252	10405200A22826	Proyectos	Analista	Perú	Basica	Online Asincronica
4253	10407657A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4254	10422369A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
4255	10069732A22826	Proyectos	Gerente de Área/Unidad	Perú	Basica	Online Asincronica
4256	9301882A22826	Proyectos	Otros	Perú	Basica	Online Asincronica
4257	9950326A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4258	37004A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4259	10419358A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4260	9999309A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4261	9472882A22826	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4262	9623437A22826	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4263	127790A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4264	9543367A22826	Proyectos	Encargado	Perú	Basica	Online Asincronica
4265	10215698A22826	Proyectos	Estudiante	Perú	Basica	Online Asincronica
4266	10464517A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4267	10446329A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4268	10230843A22826	Proyectos	Jefe	Perú	Basica	Online Asincronica
4269	9746595A22826	Proyectos	Asistente	Perú	Basica	Online Asincronica
4270	9910936A22826	Proyectos	Otros	Perú	Basica	Online Asincronica
4271	163439A22826	Proyectos	Gerente General/ Apoderado	Perú	Basica	Online Asincronica
